target	class
BUD31	Functional_Group_7
BYSL	Functional_Group_9
C12orf45	Functional_Group_3
C14orf178	Functional_Group_2
C1QBP	Functional_Group_9
C7orf26	Functional_Group_7
CACTIN	Functional_Group_7
CAPZB	Functional_Group_3
CASP8AP2	Functional_Group_6
CBLL1	Functional_Group_4
CCDC174	Functional_Group_10
CCDC59	Functional_Group_9
CCDC84	Functional_Group_10
CCDC86	Functional_Group_8
CCNH	Functional_Group_10
CCNK	Functional_Group_8
CCT2	Functional_Group_5
CCT3	Functional_Group_2
CCT4	Functional_Group_6
CCT5	Functional_Group_10
CCT6A	Functional_Group_9
CCT7	Functional_Group_3
CCT8	Functional_Group_10
CDAN1	Functional_Group_3
CDC123	Functional_Group_9
CDC16	Functional_Group_2
CDC23	Functional_Group_10
CDC27	Functional_Group_5
CDC5L	Functional_Group_6
CDC6	Functional_Group_4
CDC73	Functional_Group_5
CDK1	Functional_Group_3
CDK9	Functional_Group_4
CENPC	Functional_Group_6
CENPE	Functional_Group_1
CENPJ	Functional_Group_3
CENPK	Functional_Group_5
CEP192	Functional_Group_2
CHAF1A	Functional_Group_5
CHAF1B	Functional_Group_3
CHCHD4	Functional_Group_8
CHD4	Functional_Group_7
CHEK1	Functional_Group_9
CHERP	Functional_Group_3
CHMP1A	Functional_Group_10
CHMP2A	Functional_Group_5
CHMP6	Functional_Group_9
CIAPIN1	Functional_Group_8
CINP	Functional_Group_1
CKAP5	Functional_Group_8
CLNS1A	Functional_Group_10
CLP1	Functional_Group_8
CLSPN	Functional_Group_8
CLTC	Functional_Group_2
CMTR1	Functional_Group_8
CNIH4	Functional_Group_4
CNOT1	Functional_Group_1
CNOT2	Functional_Group_8
CNOT3	Functional_Group_8
COG2	Functional_Group_6
COG3	Functional_Group_10
COPB1	Functional_Group_4
COPB2	Functional_Group_9
COPS2	Functional_Group_2
COPS3	Functional_Group_7
COPS4	Functional_Group_3
COPS5	Functional_Group_9
COPS6	Functional_Group_5
COPS8	Functional_Group_4
COPZ1	Functional_Group_10
COX11	Functional_Group_2
COX15	Functional_Group_6
COX17	Functional_Group_10
COX7C	Functional_Group_2
CPSF1	Functional_Group_2
CPSF3	Functional_Group_3
CPSF4	Functional_Group_9
CPSF6	Functional_Group_3
CRNKL1	Functional_Group_9
CSE1L	Functional_Group_7
CSNK1A1	Functional_Group_5
CSNK2B	Functional_Group_7
CSTF1	Functional_Group_6
CSTF3	Functional_Group_5
CTDP1	Functional_Group_4
CTNNBL1	Functional_Group_6
CTR9	Functional_Group_9
CUL1	Functional_Group_4
CUL2	Functional_Group_7
CUL7	Functional_Group_7
CWC15	Functional_Group_7
CWC22	Functional_Group_1
CWF19L2	Functional_Group_9
CXXC1	Functional_Group_3
DAD1	Functional_Group_7
DAP3	Functional_Group_8
DARS	Functional_Group_2
DCUN1D5	Functional_Group_7
DDB1	Functional_Group_1
DDOST	Functional_Group_2
DDX10	Functional_Group_2
DDX20	Functional_Group_8
DDX21	Functional_Group_3
DDX23	Functional_Group_3
DDX24	Functional_Group_5
DDX27	Functional_Group_5
DDX41	Functional_Group_6
DDX46	Functional_Group_8
DDX47	Functional_Group_2
DDX49	Functional_Group_2
DDX5	Functional_Group_6
DDX51	Functional_Group_5
DDX52	Functional_Group_3
DDX54	Functional_Group_8
DDX55	Functional_Group_3
DDX56	Functional_Group_8
DDX59	Functional_Group_3
DDX6	Functional_Group_7
DENR	Functional_Group_1
DERL2	Functional_Group_6
DHDDS	Functional_Group_10
DHX15	Functional_Group_9
DHX16	Functional_Group_5
DHX33	Functional_Group_7
DHX36	Functional_Group_6
DHX37	Functional_Group_5
DICER1	Functional_Group_4
DIMT1	Functional_Group_1
DIS3	Functional_Group_1
DKC1	Functional_Group_5
DLD	Functional_Group_8
DMAP1	Functional_Group_6
DNAJA3	Functional_Group_6
DNAJC17	Functional_Group_10
DNAJC19	Functional_Group_4
DNAJC8	Functional_Group_10
DNM1L	Functional_Group_4
DNMT1	Functional_Group_6
DNTTIP2	Functional_Group_8
DOHH	Functional_Group_4
DONSON	Functional_Group_7
DPH2	Functional_Group_9
DR1	Functional_Group_10
DRAP1	Functional_Group_10
DSN1	Functional_Group_6
DTL	Functional_Group_7
DTYMK	Functional_Group_10
DUT	Functional_Group_5
DYNC1H1	Functional_Group_6
DYNC1I2	Functional_Group_3
DYNLL1	Functional_Group_1
DYNLRB1	Functional_Group_8
E4F1	Functional_Group_6
EBNA1BP2	Functional_Group_4
ECD	Functional_Group_4
EEF1G	Functional_Group_8
EEF2	Functional_Group_10
EFTUD2	Functional_Group_5
EIF1AX	Functional_Group_7
EIF2B1	Functional_Group_3
EIF2B2	Functional_Group_9
EIF2B3	Functional_Group_8
EIF2B4	Functional_Group_4
EIF2B5	Functional_Group_2
EIF2S1	Functional_Group_9
EIF2S2	Functional_Group_5
EIF2S3	Functional_Group_2
EIF3A	Functional_Group_2
EIF3B	Functional_Group_8
EIF3CL	Functional_Group_9
EIF3D	Functional_Group_7
EIF3E	Functional_Group_1
EIF3F	Functional_Group_2
EIF3G	Functional_Group_2
EIF3H	Functional_Group_8
EIF3I	Functional_Group_3
EIF3J	Functional_Group_7
EIF3M	Functional_Group_8
EIF4E	Functional_Group_9
EIF4G1	Functional_Group_5
EIF4G2	Functional_Group_8
EIF5	Functional_Group_4
EIF5A	Functional_Group_3
EIF6	Functional_Group_6
ELP3	Functional_Group_5
ELP5	Functional_Group_2
EP400	Functional_Group_7
EPRS	Functional_Group_6
ERCC2	Functional_Group_2
ERCC3	Functional_Group_7
ERH	Functional_Group_4
ESF1	Functional_Group_4
ETF1	Functional_Group_9
EXOC7	Functional_Group_8
EXOSC10	Functional_Group_10
EXOSC2	Functional_Group_7
EXOSC3	Functional_Group_8
EXOSC4	Functional_Group_8
EXOSC5	Functional_Group_9
EXOSC6	Functional_Group_10
EXOSC7	Functional_Group_6
EXOSC8	Functional_Group_4
EXOSC9	Functional_Group_10
FAM136A	Functional_Group_2
FAM50A	Functional_Group_10
FARSA	Functional_Group_6
FARSB	Functional_Group_5
FASTKD5	Functional_Group_10
FAU	Functional_Group_8
FBL	Functional_Group_2
FBXO5	Functional_Group_2
FCF1	Functional_Group_4
FNTA	Functional_Group_1
FTSJ3	Functional_Group_1
GAR1	Functional_Group_9
GARS	Functional_Group_6
GATA1	Functional_Group_1
GBF1	Functional_Group_5
GEMIN5	Functional_Group_8
GFER	Functional_Group_5
GFM1	Functional_Group_5
GINS1	Functional_Group_6
GINS2	Functional_Group_4
GINS3	Functional_Group_7
GINS4	Functional_Group_1
GLE1	Functional_Group_3
GMPS	Functional_Group_3
GNL2	Functional_Group_1
GNL3	Functional_Group_6
GNL3L	Functional_Group_6
GOLT1B	Functional_Group_10
GPKOW	Functional_Group_7
GPN1	Functional_Group_1
GPN2	Functional_Group_10
GPN3	Functional_Group_8
GPS1	Functional_Group_6
GRB2	Functional_Group_6
GRPEL1	Functional_Group_5
GRSF1	Functional_Group_8
GSPT1	Functional_Group_10
GTF2A1	Functional_Group_10
GTF2A2	Functional_Group_5
GTF2B	Functional_Group_5
GTF2E1	Functional_Group_9
GTF2E2	Functional_Group_9
GTF2F2	Functional_Group_5
GTF2H1	Functional_Group_10
GTF2H4	Functional_Group_7
GTF3C3	Functional_Group_1
GTPBP4	Functional_Group_6
GUCD1	Functional_Group_4
HARS	Functional_Group_7
HARS2	Functional_Group_7
HAUS4	Functional_Group_8
HAUS5	Functional_Group_3
HBS1L	Functional_Group_7
HDAC7	Functional_Group_6
HEATR1	Functional_Group_1
HGS	Functional_Group_8
HINFP	Functional_Group_4
HIRA	Functional_Group_10
HMGCS1	Functional_Group_2
HNRNPC	Functional_Group_8
HNRNPH1	Functional_Group_1
HNRNPL	Functional_Group_7
HNRNPU	Functional_Group_4
HSCB	Functional_Group_1
HSD17B12	Functional_Group_7
HSPA5	Functional_Group_5
HSPA8	Functional_Group_5
HSPA9	Functional_Group_1
HSPE1	Functional_Group_9
HUWE1	Functional_Group_4
HYPK	Functional_Group_2
IARS	Functional_Group_7
IARS2	Functional_Group_9
ICE1	Functional_Group_8
IGBP1	Functional_Group_10
IK	Functional_Group_8
ILF2	Functional_Group_4
ILF3	Functional_Group_5
IMP4	Functional_Group_4
INO80	Functional_Group_2
INO80B	Functional_Group_4
INTS1	Functional_Group_4
INTS2	Functional_Group_10
INTS3	Functional_Group_9
INTS4	Functional_Group_3
INTS5	Functional_Group_6
INTS6	Functional_Group_1
INTS7	Functional_Group_3
INTS8	Functional_Group_2
INTS9	Functional_Group_7
IPO13	Functional_Group_7
IPO9	Functional_Group_9
ISCU	Functional_Group_9
ISG20L2	Functional_Group_3
JAZF1	Functional_Group_6
KANSL1	Functional_Group_5
KANSL2	Functional_Group_6
KANSL3	Functional_Group_1
KARS	Functional_Group_2
KAT8	Functional_Group_9
KCTD10	Functional_Group_9
KIF20A	Functional_Group_4
KIN	Functional_Group_3
KPNB1	Functional_Group_9
KRI1	Functional_Group_9
KRR1	Functional_Group_9
LAMTOR2	Functional_Group_2
LAMTOR4	Functional_Group_6
LARS	Functional_Group_8
LAS1L	Functional_Group_9
LETM1	Functional_Group_3
LIN54	Functional_Group_1
LONP1	Functional_Group_6
LRPPRC	Functional_Group_3
LSG1	Functional_Group_4
LSM10	Functional_Group_4
LSM11	Functional_Group_2
LSM2	Functional_Group_7
LSM3	Functional_Group_10
LSM4	Functional_Group_7
LSM5	Functional_Group_8
LSM6	Functional_Group_1
LSM7	Functional_Group_8
LTV1	Functional_Group_10
LUC7L3	Functional_Group_4
MAD2L1	Functional_Group_2
MAGOH	Functional_Group_6
MAK16	Functional_Group_4
MARS	Functional_Group_6
MARS2	Functional_Group_2
MAT2A	Functional_Group_8
MAU2	Functional_Group_6
MAX	Functional_Group_2
MCM10	Functional_Group_7
MCM2	Functional_Group_1
MCM3	Functional_Group_6
MCM3AP	Functional_Group_2
MCM4	Functional_Group_3
MCM6	Functional_Group_7
MCMBP	Functional_Group_8
MDN1	Functional_Group_1
MED1	Functional_Group_3
MED10	Functional_Group_9
MED11	Functional_Group_1
MED12	Functional_Group_9
MED14	Functional_Group_7
MED17	Functional_Group_9
MED19	Functional_Group_3
MED20	Functional_Group_7
MED21	Functional_Group_5
MED22	Functional_Group_4
MED26	Functional_Group_5
MED28	Functional_Group_6
MED29	Functional_Group_6
MED30	Functional_Group_7
MED31	Functional_Group_9
MED4	Functional_Group_10
MED6	Functional_Group_2
MED7	Functional_Group_1
MED8	Functional_Group_9
MED9	Functional_Group_7
METAP2	Functional_Group_3
METTL14	Functional_Group_9
METTL16	Functional_Group_5
METTL3	Functional_Group_7
MEX3A	Functional_Group_7
MFAP1	Functional_Group_6
MICOS10	Functional_Group_3
MIOS	Functional_Group_9
MMS22L	Functional_Group_4
MNAT1	Functional_Group_3
MOB4	Functional_Group_1
MRGBP	Functional_Group_6
MRPL10	Functional_Group_8
MRPL13	Functional_Group_9
MRPL14	Functional_Group_8
MRPL16	Functional_Group_7
MRPL17	Functional_Group_7
MRPL18	Functional_Group_8
MRPL2	Functional_Group_2
MRPL22	Functional_Group_1
MRPL24	Functional_Group_9
MRPL27	Functional_Group_2
MRPL3	Functional_Group_8
MRPL32	Functional_Group_2
MRPL35	Functional_Group_5
MRPL36	Functional_Group_8
MRPL37	Functional_Group_6
MRPL38	Functional_Group_8
MRPL39	Functional_Group_5
MRPL4	Functional_Group_10
MRPL41	Functional_Group_6
MRPL43	Functional_Group_3
MRPL49	Functional_Group_10
MRPL50	Functional_Group_10
MRPL51	Functional_Group_4
MRPL53	Functional_Group_1
MRPL54	Functional_Group_5
MRPL55	Functional_Group_9
MRPS10	Functional_Group_1
MRPS11	Functional_Group_9
MRPS14	Functional_Group_4
MRPS18A	Functional_Group_1
MRPS2	Functional_Group_8
MRPS21	Functional_Group_5
MRPS22	Functional_Group_2
MRPS24	Functional_Group_7
MRPS26	Functional_Group_2
MRPS27	Functional_Group_9
MRPS28	Functional_Group_2
MRPS34	Functional_Group_6
MRPS35	Functional_Group_6
MRPS7	Functional_Group_3
MRPS9	Functional_Group_10
MTOR	Functional_Group_9
MTPAP	Functional_Group_2
MVD	Functional_Group_7
MYBBP1A	Functional_Group_9
MYBL2	Functional_Group_9
MZT1	Functional_Group_8
N6AMT1	Functional_Group_1
NAA10	Functional_Group_10
NAA15	Functional_Group_2
NAA20	Functional_Group_8
NAA25	Functional_Group_4
NACA	Functional_Group_6
NAE1	Functional_Group_7
NARS	Functional_Group_4
NAT10	Functional_Group_5
NBAS	Functional_Group_7
NCAPH	Functional_Group_9
NCBP1	Functional_Group_9
NCBP2	Functional_Group_9
NCKAP1	Functional_Group_9
NDC80	Functional_Group_8
NDUFA2	Functional_Group_9
NDUFA6	Functional_Group_6
NDUFA8	Functional_Group_1
NDUFAB1	Functional_Group_7
NDUFB10	Functional_Group_7
NDUFB4	Functional_Group_5
NDUFB8	Functional_Group_1
NEDD1	Functional_Group_9
NEDD8	Functional_Group_6
NELFA	Functional_Group_1
NELFB	Functional_Group_4
NELFCD	Functional_Group_6
NELFE	Functional_Group_2
NEPRO	Functional_Group_6
NFRKB	Functional_Group_2
NFS1	Functional_Group_5
NIFK	Functional_Group_1
NIP7	Functional_Group_7
NKAP	Functional_Group_1
NLE1	Functional_Group_5
NMD3	Functional_Group_4
NOB1	Functional_Group_10
NOC3L	Functional_Group_1
NOC4L	Functional_Group_7
NOL11	Functional_Group_10
NOL12	Functional_Group_1
NOL6	Functional_Group_9
NOL8	Functional_Group_2
NOLC1	Functional_Group_5
NOM1	Functional_Group_3
NOP10	Functional_Group_6
NOP14	Functional_Group_6
NOP16	Functional_Group_2
NOP2	Functional_Group_3
NOP58	Functional_Group_8
NPLOC4	Functional_Group_4
NRBP1	Functional_Group_1
NRDE2	Functional_Group_8
NRF1	Functional_Group_4
NSA2	Functional_Group_3
NSRP1	Functional_Group_7
NUBP1	Functional_Group_7
NUDC	Functional_Group_1
NUDCD3	Functional_Group_9
NUDT21	Functional_Group_9
NUF2	Functional_Group_5
NUFIP1	Functional_Group_5
NUMA1	Functional_Group_2
NUP107	Functional_Group_7
NUP133	Functional_Group_9
NUP160	Functional_Group_6
NUP54	Functional_Group_10
NUP62	Functional_Group_5
NUP85	Functional_Group_6
NUP98	Functional_Group_4
NUTF2	Functional_Group_6
NVL	Functional_Group_8
OGFOD1	Functional_Group_1
OGT	Functional_Group_1
OPA1	Functional_Group_9
ORC1	Functional_Group_3
ORC5	Functional_Group_1
OXA1L	Functional_Group_9
PABPN1	Functional_Group_7
PAM16	Functional_Group_1
PAXBP1	Functional_Group_7
PCBP1	Functional_Group_5
PCF11	Functional_Group_7
PCID2	Functional_Group_7
PCNA	Functional_Group_5
PDAP1	Functional_Group_9
PDCD11	Functional_Group_2
PDCD2	Functional_Group_4
PDCD7	Functional_Group_4
PDRG1	Functional_Group_7
PELO	Functional_Group_4
PELP1	Functional_Group_1
PES1	Functional_Group_2
PET117	Functional_Group_10
PFDN2	Functional_Group_10
PFN1	Functional_Group_9
PGAM1	Functional_Group_6
PGD	Functional_Group_5
PHAX	Functional_Group_7
PHB	Functional_Group_4
PHB2	Functional_Group_3
PHF5A	Functional_Group_1
PIAS4	Functional_Group_8
PKM	Functional_Group_5
PLRG1	Functional_Group_7
PMF1	Functional_Group_5
PMPCA	Functional_Group_10
PMPCB	Functional_Group_1
PNISR	Functional_Group_1
PNN	Functional_Group_3
PNO1	Functional_Group_10
POLA1	Functional_Group_6
POLA2	Functional_Group_5
POLD1	Functional_Group_10
POLD2	Functional_Group_7
POLE	Functional_Group_3
POLR1A	Functional_Group_2
POLR1B	Functional_Group_7
POLR1C	Functional_Group_4
POLR1E	Functional_Group_4
POLR2A	Functional_Group_10
POLR2B	Functional_Group_5
POLR2C	Functional_Group_7
POLR2D	Functional_Group_1
POLR2E	Functional_Group_5
POLR2F	Functional_Group_7
POLR2G	Functional_Group_3
POLR2H	Functional_Group_9
POLR2I	Functional_Group_7
POLR2L	Functional_Group_2
POLR3B	Functional_Group_5
POLR3C	Functional_Group_5
POLR3D	Functional_Group_2
POLR3E	Functional_Group_3
POLR3F	Functional_Group_4
POLRMT	Functional_Group_8
POP1	Functional_Group_5
POP4	Functional_Group_7
POP5	Functional_Group_5
POP7	Functional_Group_8
PPARGC1B	Functional_Group_5
PPIE	Functional_Group_5
PPIH	Functional_Group_8
PPIL4	Functional_Group_9
PPP1CA	Functional_Group_8
PPP1R11	Functional_Group_4
PPP1R8	Functional_Group_6
PPP2R1A	Functional_Group_10
PPP4C	Functional_Group_6
PPP4R2	Functional_Group_8
PPRC1	Functional_Group_5
PRELID1	Functional_Group_7
PRELID3B	Functional_Group_4
PRIM1	Functional_Group_2
PRIM2	Functional_Group_2
PRMT1	Functional_Group_9
PRMT5	Functional_Group_2
PRPF18	Functional_Group_3
PRPF19	Functional_Group_6
PRPF3	Functional_Group_8
PRPF31	Functional_Group_3
PRPF4	Functional_Group_7
PRPF40A	Functional_Group_4
PRPF4B	Functional_Group_8
PRPF6	Functional_Group_7
PRPF8	Functional_Group_8
PRRC2A	Functional_Group_10
PSMA1	Functional_Group_6
PSMA2	Functional_Group_9
PSMA4	Functional_Group_4
PSMA6	Functional_Group_10
PSMA7	Functional_Group_3
PSMB1	Functional_Group_5
PSMB2	Functional_Group_5
PSMB3	Functional_Group_5
PSMB5	Functional_Group_3
PSMB6	Functional_Group_9
PSMB7	Functional_Group_8
PSMC1	Functional_Group_1
PSMC2	Functional_Group_4
PSMC3	Functional_Group_5
PSMC4	Functional_Group_1
PSMD1	Functional_Group_1
PSMD11	Functional_Group_6
PSMD13	Functional_Group_5
PSMD3	Functional_Group_10
PSMD4	Functional_Group_2
PSMD6	Functional_Group_8
PSMG3	Functional_Group_10
PSMG4	Functional_Group_9
PTBP1	Functional_Group_8
PTCD1	Functional_Group_10
PUF60	Functional_Group_1
PWP2	Functional_Group_8
QARS	Functional_Group_8
RABGGTA	Functional_Group_4
RACGAP1	Functional_Group_3
RAD21	Functional_Group_4
RAD51	Functional_Group_1
RAD51C	Functional_Group_10
RAE1	Functional_Group_4
RAN	Functional_Group_5
RANGAP1	Functional_Group_9
RARS	Functional_Group_5
RARS2	Functional_Group_9
RBBP4	Functional_Group_9
RBBP6	Functional_Group_1
RBBP8	Functional_Group_2
RBM14	Functional_Group_8
RBM17	Functional_Group_7
RBM19	Functional_Group_8
RBM25	Functional_Group_3
RBM28	Functional_Group_5
RBM39	Functional_Group_6
RBM4	Functional_Group_6
RBM42	Functional_Group_1
RBM48	Functional_Group_6
RBM8A	Functional_Group_8
RBMX	Functional_Group_1
RBMX2	Functional_Group_8
RBX1	Functional_Group_3
RCC1	Functional_Group_10
RCL1	Functional_Group_6
REXO2	Functional_Group_8
RFC2	Functional_Group_7
RFC3	Functional_Group_4
RFC4	Functional_Group_2
RFC5	Functional_Group_5
RINT1	Functional_Group_9
RIOK1	Functional_Group_2
RIOK2	Functional_Group_9
RMI1	Functional_Group_9
RNF113A	Functional_Group_6
RNF20	Functional_Group_3
RNF40	Functional_Group_1
RNGTT	Functional_Group_6
RNMT	Functional_Group_6
RNPC3	Functional_Group_6
RNPS1	Functional_Group_9
ROMO1	Functional_Group_5
RPA1	Functional_Group_3
RPA2	Functional_Group_2
RPA3	Functional_Group_8
RPAP1	Functional_Group_10
RPAP2	Functional_Group_3
RPF1	Functional_Group_5
RPF2	Functional_Group_7
RPL10	Functional_Group_10
RPL10A	Functional_Group_5
RPL11	Functional_Group_7
RPL12	Functional_Group_5
RPL13	Functional_Group_7
RPL13A	Functional_Group_2
RPL14	Functional_Group_7
RPL15	Functional_Group_5
RPL17	Functional_Group_8
RPL18	Functional_Group_3
RPL18A	Functional_Group_3
RPL19	Functional_Group_8
RPL21	Functional_Group_4
RPL23	Functional_Group_4
RPL23A	Functional_Group_2
RPL24	Functional_Group_1
RPL26	Functional_Group_7
RPL27	Functional_Group_7
RPL27A	Functional_Group_9
RPL30	Functional_Group_8
RPL31	Functional_Group_1
RPL32	Functional_Group_10
RPL34	Functional_Group_7
RPL35	Functional_Group_2
RPL35A	Functional_Group_3
RPL36	Functional_Group_4
RPL36A	Functional_Group_10
RPL37	Functional_Group_3
RPL37A	Functional_Group_8
RPL38	Functional_Group_2
RPL39	Functional_Group_7
RPL5	Functional_Group_7
RPL6	Functional_Group_7
RPL7	Functional_Group_9
RPL7L1	Functional_Group_5
RPL8	Functional_Group_7
RPL9	Functional_Group_3
RPLP0	Functional_Group_7
RPLP1	Functional_Group_4
RPLP2	Functional_Group_5
RPP14	Functional_Group_7
RPP30	Functional_Group_3
RPP40	Functional_Group_6
RPS10	Functional_Group_2
RPS10-NUDT3	Functional_Group_3
RPS11	Functional_Group_3
RPS12	Functional_Group_1
RPS13	Functional_Group_5
RPS14	Functional_Group_5
RPS15	Functional_Group_4
RPS15A	Functional_Group_4
RPS16	Functional_Group_4
RPS17	Functional_Group_8
RPS18	Functional_Group_7
RPS19	Functional_Group_10
RPS19BP1	Functional_Group_9
RPS2	Functional_Group_2
RPS20	Functional_Group_10
RPS21	Functional_Group_10
RPS23	Functional_Group_4
RPS24	Functional_Group_5
RPS26	Functional_Group_8
RPS27	Functional_Group_8
RPS27A	Functional_Group_8
RPS28	Functional_Group_10
RPS29	Functional_Group_2
RPS3	Functional_Group_6
RPS3A	Functional_Group_1
RPS4X	Functional_Group_2
RPS5	Functional_Group_10
RPS6	Functional_Group_5
RPS7	Functional_Group_5
RPS9	Functional_Group_7
RPSA	Functional_Group_3
RPTOR	Functional_Group_5
RPUSD4	Functional_Group_5
RRM1	Functional_Group_9
RRN3	Functional_Group_10
RRP1	Functional_Group_4
RRP12	Functional_Group_7
RRP7A	Functional_Group_6
RRP9	Functional_Group_2
RRS1	Functional_Group_8
RSL1D1	Functional_Group_4
RSL24D1	Functional_Group_9
RTCB	Functional_Group_2
SAE1	Functional_Group_4
SAMM50	Functional_Group_2
SAP130	Functional_Group_3
SAP18	Functional_Group_7
SARS	Functional_Group_3
SARS2	Functional_Group_10
SART1	Functional_Group_2
SART3	Functional_Group_2
SBNO1	Functional_Group_8
SCAF1	Functional_Group_7
SCFD1	Functional_Group_1
SDAD1	Functional_Group_4
SDC1	Functional_Group_2
SDE2	Functional_Group_6
SDHC	Functional_Group_5
SEC13	Functional_Group_10
SEC61A1	Functional_Group_9
SEC61G	Functional_Group_2
SEH1L	Functional_Group_9
SEM1	Functional_Group_6
SERBP1	Functional_Group_6
SETD1A	Functional_Group_10
SETDB1	Functional_Group_9
SF1	Functional_Group_8
SF3A1	Functional_Group_2
SF3A2	Functional_Group_8
SF3B2	Functional_Group_8
SF3B3	Functional_Group_6
SF3B4	Functional_Group_3
SF3B5	Functional_Group_1
SFPQ	Functional_Group_5
SFSWAP	Functional_Group_2
SIN3A	Functional_Group_8
SKP1	Functional_Group_5
SLBP	Functional_Group_3
SLC39A9	Functional_Group_3
SLC7A5	Functional_Group_6
SLU7	Functional_Group_3
SMARCB1	Functional_Group_3
SMC1A	Functional_Group_8
SMC2	Functional_Group_8
SMC3	Functional_Group_3
SMG5	Functional_Group_1
SMN2	Functional_Group_8
SMU1	Functional_Group_6
SNAPC1	Functional_Group_4
SNAPC2	Functional_Group_4
SNAPC3	Functional_Group_7
SNAPC5	Functional_Group_1
SNIP1	Functional_Group_6
SNRNP200	Functional_Group_4
SNRNP25	Functional_Group_1
SNRNP27	Functional_Group_9
SNRNP35	Functional_Group_7
SNRNP48	Functional_Group_1
SNRNP70	Functional_Group_7
SNRPA1	Functional_Group_6
SNRPB	Functional_Group_2
SNRPC	Functional_Group_10
SNRPD1	Functional_Group_2
SNRPD3	Functional_Group_6
SNRPE	Functional_Group_6
SNRPF	Functional_Group_3
SNRPG	Functional_Group_10
SNW1	Functional_Group_9
SON	Functional_Group_5
SPC24	Functional_Group_5
SPC25	Functional_Group_4
SPCS3	Functional_Group_1
SRBD1	Functional_Group_9
SRFBP1	Functional_Group_4
SRP54	Functional_Group_1
SRP68	Functional_Group_3
SRP72	Functional_Group_10
SRPRB	Functional_Group_1
SRRM1	Functional_Group_6
SRRM2	Functional_Group_6
SRRT	Functional_Group_8
SRSF1	Functional_Group_1
SRSF10	Functional_Group_8
SRSF11	Functional_Group_5
SRSF2	Functional_Group_1
SRSF3	Functional_Group_6
SRSF7	Functional_Group_8
SSBP1	Functional_Group_6
SSRP1	Functional_Group_7
SSU72	Functional_Group_10
STARD7	Functional_Group_8
STRAP	Functional_Group_2
SUGP1	Functional_Group_2
SUGT1	Functional_Group_7
SUPT16H	Functional_Group_3
SUPT4H1	Functional_Group_1
SUPT5H	Functional_Group_4
SUPT6H	Functional_Group_1
SUPV3L1	Functional_Group_5
SURF6	Functional_Group_9
SYF2	Functional_Group_5
SYMPK	Functional_Group_3
TADA3	Functional_Group_8
